tf,target,score,asi,class1_pass,distance_mb,class2_pass,topo_q,topo_excess,class3_pass,passes_all
TF000,TG000,0.7756966211802395,0.00010011354068924616,True,40.575935,True,1.0,-9.769962616701378e-15,False,False
TF000,TG003,0.7180012407270951,0.0035554017147870986,True,,True,1.0,-1.021405182655144e-14,False,False
TF000,TG006,0.6824121402905835,6.181397950623879e-05,True,,True,1.0,2.9976021664879227e-15,True,True
TF000,TG007,0.6451950268467399,0.0001733661326249533,True,,True,1.0,-7.882583474838611e-15,False,False
TF000,TG011,0.47106584602217927,0.0005798917629821981,True,,True,1.0,4.9960036108132044e-15,True,True
TF000,TG015,0.3921269280521987,0.004854861845018215,True,,True,1.0,-7.382983113757291e-15,False,False
TF000,TG016,0.8776636464620444,0.00016729608352003355,True,,True,1.0,1.5654144647214707e-14,True,True
TF000,TG017,0.7094555702665432,0.00016836180629267998,True,,True,1.0,2.3314683517128287e-15,True,True
TF000,TG019,0.704883821762027,0.00024027007507649816,True,,True,1.0,3.3306690738754696e-16,True,True
TF000,TG021,0.6850106419997234,0.00012911012382311657,True,,True,1.0,-1.1102230246251565e-15,False,False
TF000,TG025,0.7146549124614442,8.630046911589905e-05,True,24.343007,True,1.0,-1.0103029524088925e-14,False,False
TF000,TG027,0.6851202877271173,0.0003071970610383512,True,,True,1.0,2.3314683517128287e-15,True,True
TF000,TG028,0.6443519239118818,0.000334438607351802,True,,True,1.0,-3.3306690738754696e-16,False,False
TF000,TG029,0.7089755673861421,0.014084724872923943,True,34.872508,True,1.0,1.2878587085651816e-14,True,True
TF000,TG032,0.6916607583388134,6.659932507466699e-05,True,,True,1.0,8.992806499463768e-15,True,True
TF000,TG034,0.7663236834754584,0.006607909672651521,True,,True,1.0,1.0325074129013956e-14,True,True
TF000,TG035,0.5846438487259132,0.0003816218258584147,True,,True,1.0,-1.1546319456101628e-14,False,False
TF000,TG039,0.6863681057059242,0.001380297925067144,True,,True,1.0,2.220446049250313e-16,True,True
TF000,TG041,0.6231878703836399,0.0011381085135249915,True,,True,1.0,1.3211653993039363e-14,True,True
TF000,TG042,0.6643698627591832,0.0006174377505455583,True,,True,1.0,-4.9960036108132044e-15,False,False
TF000,TG043,0.5212137601547744,0.00045249339635240553,True,,True,1.0,8.548717289613705e-15,True,True
